code,ward_name,population,ward_area_km2,score_accessibility,score_safety,score_convenience,score_resilience,score_affordability,score_livability,rent_monthly_avg,time_to_tokyo_min,time_to_shinjuku_min,time_to_shibuya_min,time_to_ikebukuro_min,time_to_shinagawa_min,avg_time_to_major_stations_min,crime_total_count,violent_crime_count,theft_count,bicycle_theft_count,burglary_count,crime_yoy_rate,flood_risk_area_ratio,liquefaction_high_area_ratio,park_area_total,recommended_profile
13101,千代田区,66000,11.66,94.7,0.0,70.4,98.6,10.4,79.9,120000,0.0,15.0,20.0,18.0,12.0,13.0,2376,314,1347,182,37,0.1687,0.05,0.0,1250000,家賃相場が高いため、十分な予算設計が必要です。 主要駅へのアクセスが良く、通勤・通学の鉄道利便性を重視する人に向いています。 犯罪件数は人口比で高めに出ているため、住むエリアの確認が必要です。 水害などの災害リスクが比較的低く、避難所インフラも整っています。 若い単身層が多く住んでおり、公園などの自然環境も豊かです。
13102,中央区,169000,10.21,70.3,71.7,57.2,43.9,25.8,42.5,110000,8.0,22.0,24.0,25.0,18.0,19.4,1828,200,994,250,25,-0.2937,0.2,0.4,650000,家賃相場が高いため、十分な予算設計が必要です。
13103,港区,260000,20.36,60.7,61.0,52.5,63.3,0.0,40.2,125000,10.0,14.0,12.0,20.0,8.0,12.8,2980,492,1599,373,42,0.1374,0.1,0.2,1150000,家賃相場が高いため、十分な予算設計が必要です。
13104,新宿区,349000,18.22,64.2,52.1,65.2,69.7,41.9,37.9,100000,15.0,0.0,12.0,10.0,20.0,11.4,5537,756,3562,1074,152,0.1488,0.05,0.05,980000,実取得データで見ると、各指標のバランスが良いエリアです。
13105,文京区,240000,11.29,46.0,96.1,46.7,79.8,57.3,39.6,90000,12.0,15.0,22.0,12.0,24.0,17.0,1104,119,665,290,29,0.2294,0.02,0.0,780000,人口あたりの犯罪件数が比較的少ない治安の良いエリアです。 水害などの災害リスクが比較的低く、避難所インフラも整っています。
13106,台東区,211000,10.11,64.5,59.9,98.7,53.0,50.8,28.4,95000,8.0,20.0,26.0,18.0,22.0,18.8,2805,383,1891,771,58,0.1109,0.25,0.2,520000,買い物施設や医療アクセスが充実しており、日常生活の利便性が高いです。
13107,墨田区,272000,13.77,33.7,86.6,32.6,15.1,66.2,25.6,85000,12.0,22.0,28.0,24.0,25.0,22.2,2137,209,1493,665,40,0.0942,0.75,0.5,740000,人口あたりの犯罪件数が比較的少ない治安の良いエリアです。 ハザードマップ（浸水リスク等）を確認しておくことを推奨します。
13108,江東区,524000,42.99,25.3,93.0,2.3,27.0,58.1,29.6,90000,14.0,24.0,26.0,28.0,20.0,22.4,3254,287,2197,936,48,0.1592,0.6,0.6,2150000,人口あたりの犯罪件数が比較的少ない治安の良いエリアです。 ハザードマップ（浸水リスク等）を確認しておくことを推奨します。
13109,品川区,422000,22.85,46.3,97.7,23.5,53.8,48.5,31.0,95000,12.0,20.0,18.0,24.0,8.0,16.4,2146,213,1388,538,42,0.0514,0.15,0.3,950000,人口あたりの犯罪件数が比較的少ない治安の良いエリアです。
13110,目黒区,288000,14.67,40.2,96.0,18.7,68.8,40.4,30.7,100000,18.0,14.0,10.0,18.0,16.0,15.2,1346,140,862,434,42,0.0143,0.02,0.05,540000,人口あたりの犯罪件数が比較的少ない治安の良いエリアです。
13111,大田区,748000,61.86,21.0,95.8,6.9,45.7,74.2,15.8,80000,22.0,28.0,26.0,32.0,15.0,24.6,3851,295,2620,1426,86,0.0539,0.3,0.4,1850000,人口あたりの犯罪件数が比較的少ない治安の良いエリアです。
13112,世田谷区,943000,58.05,28.7,97.9,15.4,68.2,66.2,21.8,85000,22.0,16.0,14.0,22.0,24.0,19.6,4084,309,2742,1607,100,0.111,0.05,0.05,2450000,人口あたりの犯罪件数が比較的少ない治安の良いエリアです。
13113,渋谷区,231000,15.11,65.1,51.8,51.9,71.6,8.1,46.2,120000,12.0,10.0,0.0,14.0,15.0,10.2,3388,406,2214,655,62,0.1204,0.05,0.05,1180000,家賃相場が高いため、十分な予算設計が必要です。
13114,中野区,344000,15.59,38.4,93.1,36.1,70.5,72.7,50.0,80000,20.0,6.0,15.0,16.0,25.0,16.4,1976,183,1364,780,62,0.0511,0.02,0.0,480000,人口あたりの犯罪件数が比較的少ない治安の良いエリアです。
13115,杉並区,588000,34.06,27.0,100.0,25.2,71.7,82.3,20.7,75000,24.0,12.0,18.0,18.0,28.0,20.0,2519,203,1727,952,66,0.1146,0.03,0.0,920000,家賃相場が比較的安く、住居コストを抑えられます。 人口あたりの犯罪件数が比較的少ない治安の良いエリアです。
13116,豊島区,302000,13.01,59.9,65.0,64.4,72.7,64.6,49.4,85000,16.0,10.0,18.0,0.0,24.0,13.6,3405,362,2340,804,43,0.1305,0.03,0.02,680000,実取得データで見ると、各指標のバランスが良いエリアです。
13117,北区,355000,20.61,34.8,91.7,26.4,47.6,75.0,23.0,80000,12.0,22.0,28.0,15.0,24.0,20.2,2052,187,1365,678,52,0.0654,0.35,0.25,850000,家賃相場が比較的安く、住居コストを抑えられます。 人口あたりの犯罪件数が比較的少ない治安の良いエリアです。
13118,荒川区,217000,10.16,58.0,94.0,43.2,39.2,74.2,25.0,80000,12.0,24.0,28.0,22.0,25.0,22.2,1326,116,877,435,15,0.1601,0.55,0.3,380000,人口あたりの犯罪件数が比較的少ない治安の良いエリアです。
13119,板橋区,584000,32.22,23.1,96.3,15.0,54.5,83.1,14.1,75000,25.0,20.0,28.0,15.0,32.0,24.0,2916,225,2079,1086,71,0.0725,0.25,0.1,1120000,家賃相場が比較的安く、住居コストを抑えられます。 人口あたりの犯罪件数が比較的少ない治安の良いエリアです。
13120,練馬区,752000,48.08,18.1,97.7,8.8,66.3,91.2,8.6,70000,28.0,18.0,24.0,16.0,35.0,24.2,3480,245,2461,1430,77,0.1996,0.1,0.05,1650000,家賃相場が比較的安く、住居コストを抑えられます。 人口あたりの犯罪件数が比較的少ない治安の良いエリアです。
13121,足立区,695000,53.25,5.2,92.2,7.0,13.8,100.0,6.3,65000,25.0,35.0,40.0,32.0,32.0,32.8,4222,342,2912,1361,106,0.1523,0.85,0.4,1950000,家賃相場が比較的安く、住居コストを抑えられます。 人口あたりの犯罪件数が比較的少ない治安の良いエリアです。 ハザードマップ（浸水リスク等）を確認しておくことを推奨します。
13122,葛飾区,464000,34.8,3.0,94.2,12.0,21.1,100.0,3.1,65000,24.0,36.0,42.0,34.0,34.0,34.0,2853,207,1975,1150,61,0.2319,0.8,0.4,1180000,家賃相場が比較的安く、住居コストを抑えられます。 人口あたりの犯罪件数が比較的少ない治安の良いエリアです。 ハザードマップ（浸水リスク等）を確認しておくことを推奨します。
13123,江戸川区,697000,49.9,0.6,94.2,4.8,8.9,100.0,14.6,65000,26.0,36.0,42.0,35.0,30.0,33.8,4289,302,3097,1771,58,0.1897,0.9,0.5,2850000,家賃相場が比較的安く、住居コストを抑えられます。 人口あたりの犯罪件数が比較的少ない治安の良いエリアです。 ハザードマップ（浸水リスク等）を確認しておくことを推奨します。
